year,total_annual_rides,pct_of_2019,pct_change_from_2019
2020,197499791,43.3357302223088,-56.6642697776912
2021,195980570,43.00238024218621,-56.99761975781379
2022,243538810,53.43768778379173,-46.56231221620826
2023,279146498,61.25078547465533,-38.74921452534467
2024,309197034,67.84452369856959,-32.15547630143041
2025,338041690,74.17366574192144,-25.826334258078564
2026,78164778,17.151044642344246,-82.84895535765575
